Total running time: 35620.84629
         18576279993 function calls (18576029687 primitive calls) in 35620.978 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    10000    0.304    0.000  144.603    0.014 __init__.py:103(__init__)
   260004    0.299    0.000    0.299    0.000 {method 'update' of 'dict' objects}
   600000    0.295    0.000    0.690    0.000 _pycplex.py:1568(value)
    10000    0.290    0.000   15.607    0.002 _parameter_hierarchy.py:158(mip_strategy_members)
    40000    0.287    0.000    3.780    0.000 __init__.py:230(_add_stream)
   320000    0.276    0.000    0.276    0.000 {cplex._internal.py27_cplex1270.new_CPXCHANNELptrPtr}
    10000    0.247    0.000   14.085    0.001 _parameter_hierarchy.py:114(mip_limits_members)
   194097    0.245    0.000    0.413    0.000 _ostream.py:149(flush)
    10000    0.240    0.000   12.621    0.001 _parameter_hierarchy.py:217(preprocessing_members)
    10000    0.235    0.000    0.615    0.000 {cplex._internal.py27_cplex1270.CPXXgetslack}
    10000    0.233    0.000 4544.954    0.454 _procedural.py:495(mipopt)
    40000    0.221    0.000    0.221    0.000 {cplex._internal.py27_cplex1270.CPXXaddfuncdest}
    10000    0.220    0.000 14852.242    1.485 _subinterfaces.py:1248(_add)
    10000    0.218    0.000   10.706    0.001 _parameter_hierarchy.py:94(mip_cuts_members)
   170000    0.212    0.000    0.252    0.000 _subinterfaces.py:115(_setup)
    10000    0.189    0.000    9.314    0.001 _procedural.py:489(freeprob)
    40000    0.189    0.000    0.189    0.000 {cplex._internal.py27_cplex1270.CPXXdelfuncdest}
   320000    0.189    0.000    0.189    0.000 {cplex._internal.py27_cplex1270.CPXCHANNELptrPtr_value}
   320000    0.187    0.000    0.652    0.000 _pycplex.py:1655(<lambda>)
  1170000    0.186    0.000    0.186    0.000 _pycplex.py:1590(<lambda>)
    10000    0.186    0.000   13.544    0.001 __init__.py:764(end)
   320000    0.186    0.000    1.648    0.000 _pycplex.py:1653(<lambda>)
    40000    0.185    0.000    0.237    0.000 _ostream.py:31(__init__)
    10000    0.185    0.000    0.411    0.000 _pycplex.py:1609(__init__)
    10001    0.182    0.000    0.182    0.000 {cplex._internal.py27_cplex1270.new_doubleArray}
    20000    0.181    0.000    4.044    0.000 __init__.py:127(_end)
    10001    0.172    0.000    0.537    0.000 _pycplex.py:1705(__init__)
    10000    0.172    0.000   11.021    0.001 _parameter_hierarchy.py:29(barrier_members)
    10158    0.171    0.000    0.191    0.000 {print}
   194097    0.168    0.000    0.168    0.000 {method 'flush' of 'file' objects}
    40000    0.167    0.000    4.205    0.000 __init__.py:245(_set_stream)
   320000    0.166    0.000    0.355    0.000 _pycplex.py:1664(value)
    20000    0.165    0.000 14857.265    0.743 _subinterfaces.py:154(_add_iter)
   100000    0.157    0.000    0.169    0.000 _subinterfaces.py:194(_setup)
    50000    0.153    0.000    0.413    0.000 _procedural.py:388(infostrparam)
    10000    0.153    0.000   59.456    0.006 _parameter_hierarchy.py:194(mip_members)
    10000    0.152    0.000    1.053    0.000 _procedural.py:241(openCPLEX)
